,Task_ID_x,Task,Job_Title,Function,Answer_17,Answer_18,Answer_19,Answer_20,Answer_21,EPOCH_ml,avg_epoch
1907,16044,advise businesses or agencies on ways to improve fraud detection,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1908,16036,train others in fraud detection and prevention techniques,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1910,16040,negotiate with responsible parties to arrange for recovery of losses due to fraud,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1913,16042,arrest individuals to be charged with fraud,"Fraud Examiners, Investigators and Analysts",Business and Financial Operations Occupations,4,4,4,3,4,-1.1633223528353365,3.8
1929,3479,recommend new equipment or software packages,Computer Systems Analysts,Computer and Mathematical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1934,3481,supervise computer programmers or other systems analysts or serve as project leaders for particular systems projects,Computer Systems Analysts,Computer and Mathematical Occupations,4,3,4,4,4,-0.9763912499376743,3.8
1941,18096,apply knowledge of computer science information science nursing and informatics theory to nursing practice education administration or research in collaboration with other health informatics specialists,Health Informatics Specialists,Computer and Mathematical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1945,18095,analyze computer and information technologies to determine applicability to nursing practice education administration and research,Health Informatics Specialists,Computer and Mathematical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1946,18100,develop strategies policies or procedures for introducing evaluating or modifying information technology applied to nursing practice administration education or research,Health Informatics Specialists,Computer and Mathematical Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1949,18098,design conduct or provide support to nursing informatics research,Health Informatics Specialists,Computer and Mathematical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
1958,5323,review violations of computer security procedures and discuss procedures with violators to ensure violations are not repeated,Information Security Analysts,Computer and Mathematical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1960,5315,confer with users to discuss issues such as computer data access needs security violations and programming changes,Information Security Analysts,Computer and Mathematical Occupations,4,3,4,3,3,-0.8745325892310554,3.4
1963,5313,train users and promote security awareness to ensure system security and to improve server and network efficiency,Information Security Analysts,Computer and Mathematical Occupations,4,3,3,4,4,-0.8326546575245659,3.6
1967,14628,meet with managers vendors and others to solicit cooperation and resolve problems,Computer and Information Research Scientists,Computer and Mathematical Occupations,4,3,3,4,3,-0.7650603064749315,3.4
1973,14630,develop and interpret organizational goals policies and procedures,Computer and Information Research Scientists,Computer and Mathematical Occupations,3,3,4,4,4,-0.6628602245631109,3.6
1977,14631,participate in staffing decisions and direct training of subordinates,Computer and Information Research Scientists,Computer and Mathematical Occupations,4,3,4,3,4,-0.9421269402806898,3.6
2010,1289,confer with staff users and management to establish requirements for new systems or modifications,Computer User Support Specialists,Computer and Mathematical Occupations,4,3,4,4,3,-0.9087968988880399,3.6
2019,15204,hire supervise and direct workers engaged in special project work problemsolving monitoring and installation of data communication equipment and software,Computer User Support Specialists,Computer and Mathematical Occupations,4,3,4,3,4,-0.9421269402806898,3.6
2041,18985,supervise engineers or other staff in the design or implementation of network solutions,Computer Network Architects,Computer and Mathematical Occupations,4,3,4,4,4,-0.9763912499376743,3.8
2044,18963,design organize and deliver product awareness skills transfer or product education sessions for staff or suppliers,Computer Network Architects,Computer and Mathematical Occupations,4,4,3,4,4,-1.0538500700792128,3.8
2055,16073,implement system renovation projects in collaboration with technical staff engineering consultants installers and vendors,Telecommunications Engineering Specialists,Computer and Mathematical Occupations,3,3,3,4,4,-0.5191236321500025,3.4
2059,16060,develop maintain or implement telecommunications disaster recovery plans to ensure business continuity,Telecommunications Engineering Specialists,Computer and Mathematical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
2088,1302,approve schedule plan and supervise the installation and testing of new products and improvements to computer systems such as the installation of new databases,Database Administrators,Computer and Mathematical Occupations,3,3,4,4,3,-0.5952658735134765,3.4
2099,16113,collaborate with system architects software architects design analysts and others to understand business or industry requirements,Database Architects,Computer and Mathematical Occupations,4,3,4,4,3,-0.9087968988880399,3.6
2108,21659,work as part of a project team to coordinate database development and determine project scope and limitations,Database Architects,Computer and Mathematical Occupations,3,3,4,4,4,-0.6628602245631109,3.6
2173,1281,train subordinates in programming and program coding,Computer Programmers,Computer and Mathematical Occupations,3,3,3,4,4,-0.5191236321500025,3.4
2193,21677,supervise and assign work to programmers designers technologists technicians or other engineering or scientific personnel,Software Developers,Computer and Mathematical Occupations,4,3,4,4,4,-0.9763912499376743,3.8
2194,21678,supervise the work of programmers technologists and technicians and other engineering and scientific personnel,Software Developers,Computer and Mathematical Occupations,4,3,4,4,4,-0.9763912499376743,3.8
2238,14697,confer with management or development teams to prioritize needs resolve conflicts develop content criteria or choose solutions,Web Developers,Computer and Mathematical Occupations,4,3,4,4,4,-0.9763912499376743,3.8
2249,21685,collaborate with management or users to develop ecommerce strategies and to integrate these strategies with web sites,Web and Digital Interface Designers,Computer and Mathematical Occupations,3,3,3,4,4,-0.5191236321500025,3.4
2252,21688,conduct user research to determine design requirements and analyze user feedback to improve design quality,Web and Digital Interface Designers,Computer and Mathematical Occupations,4,3,4,4,3,-0.9087968988880399,3.6
2253,21689,confer with management or development teams to prioritize needs resolve conflicts develop content criteria or choose solutions,Web and Digital Interface Designers,Computer and Mathematical Occupations,4,3,4,4,4,-0.9763912499376743,3.8
2263,21699,direct and execute preproduction activities such as creating moodboards or storyboards and establishing a project timeline,Web and Digital Interface Designers,Computer and Mathematical Occupations,3,3,3,4,4,-0.5191236321500025,3.4
2273,21709,research and apply innovative solutions for product design visuals and user experience to meet the needs of individual web development projects,Web and Digital Interface Designers,Computer and Mathematical Occupations,4,3,4,4,3,-0.9087968988880399,3.6
